Emissor,CNPJ,Emissão,Série,Quantidade,Valor,PM,Dono,Competência,% do PL Dono
CRI_21C0071934 - VIRGOSEC,08.769.451/0001-08,4,201,4409.0,4379126.57,993.2244431843956,CVBI11,04/2022,0.42353151322451627
CRI_21C0071934 - VIRGOSEC,08.769.451/0001-08,4,201,8890.0,8795314.74,989.3492395950507,CVBI11,04/2022,0.8506474753750023
CRI_21C0482259 - VIRGOSEC,08.769.451/0001-08,4,177,59000.0,47330509.35,802.212022881356,CVBI11,04/2022,4.577616546646793
CRI_21C0482259 - VIRGOSEC,08.769.451/0001-08,4,177,5466.0,4384890.91,802.2120215879986,CVBI11,04/2022,0.4240890170106972
CRI_21C0662763 - VIRGOSEC,08.769.451/0001-08,4,224,18750.0,16951694.88,904.0903936,CVBI11,04/2022,1.6394997654170758
CRI_21C0662763 - VIRGOSEC,08.769.451/0001-08,4,224,6679.0,6038419.74,904.0903937715227,CVBI11,04/2022,0.5840116765492325
CRI_21F0547426 - VIRGOSEC,08.769.451/0001-08,4,254,46364.0,41421738.13,893.403031015443,CVBI11,04/2022,4.006143953630585
CRI_21F0547426 - VIRGOSEC,08.769.451/0001-08,4,254,16798.0,15007384.11,893.4030307179426,CVBI11,04/2022,1.451453845886409
CRI_21F1007974 - VIRGOSEC,08.769.451/0001-08,4,255,33749.0,34198752.73,1013.3264016711605,CVBI11,04/2022,3.307565849627396
CRI_21H0976574 - VIRGOSEC,08.769.451/0001-08,4,338,80662.0,71938405.7,891.8500123974114,CVBI11,04/2022,6.957593332380014
CRI_22I1555753 - VIRGOSEC,08.769.451/0001-08,27,1,14000.0,13861524.7,990.1089071428571,CVBI11,04/2022,1.3406309312932254
CRI_19G0311435_DU2 - TRUESEC,12.130.744/0001-00,1,220,4382.0,1835001.68,418.75894112277496,CVBI11,04/2022,0.1774739838816601
CRI_19G0311435_DU2 - TRUESEC,12.130.744/0001-00,1,220,3618.0,1515069.85,418.7589414040907,CVBI11,04/2022,0.14653146374148782
CRI_19G0311514_DU2 - TRUESEC,12.130.744/0001-00,1,221,4382.0,1834996.0,418.75764491099955,CVBI11,04/2022,0.1774734345348996
CRI_19G0311514_DU2 - TRUESEC,12.130.744/0001-00,1,221,3618.0,1515065.16,418.75764510779436,CVBI11,04/2022,0.14653101014354644
CRI_19G0311543_DU2 - TRUESEC,12.130.744/0001-00,1,222,4077.0,1689499.79,414.39779004169736,CVBI11,04/2022,0.16340162614920775
CRI_19G0311543_DU2 - TRUESEC,12.130.744/0001-00,1,222,1400.0,580156.9,414.3977857142857,CVBI11,04/2022,0.056110442536180076
CRI_19G0311543_DU2 - TRUESEC,12.130.744/0001-00,1,222,4523.0,1874321.21,414.3977912889675,CVBI11,04/2022,0.1812768107180118
CRI_20G0800227_DU2 - TRUESEC,12.130.744/0001-00,1,236,2250818.0,2137983.86,0.949869718475683,CVBI11,04/2022,0.2067772020289864
CRI_20G0800227_DU2 - TRUESEC,12.130.744/0001-00,1,236,36316373.0,34495823.05,0.9498697199194424,CVBI11,04/2022,3.336297296447325
CRI_20K0754354_DU2 - TRUESEC,12.130.744/0001-00,1,324,5114.0,2198521.76,429.9025733281188,CVBI11,04/2022,0.212632184291907
CRI_20K0754354_DU2 - TRUESEC,12.130.744/0001-00,1,324,2346.0,1008551.43,429.9025703324808,CVBI11,04/2022,0.09754303888792366
CRI_20K0754354_DU2 - TRUESEC,12.130.744/0001-00,1,324,2540.0,1091952.53,429.90257086614173,CVBI11,04/2022,0.10560925792109246
CRI_21D0453486_DU8 - TRUESEC,12.130.744/0001-00,1,372,62.0,7033726.41,113447.20016129033,CVBI11,04/2022,0.6802737355076138
CRI_21G0612123 - TRUESEC,12.130.744/0001-00,1,419,3805.0,2839687.27,746.3041445466491,CVBI11,04/2022,0.27464313426946585
CRI_21J0043571 - TRUESEC,12.130.744/0001-00,1,447,18120.0,16873445.28,931.2055894039736,CVBI11,04/2022,1.6319317787495398
CRI_21J0043571 - TRUESEC,12.130.744/0001-00,1,447,31880.0,29686834.2,931.2055897114178,CVBI11,04/2022,2.8711912319929405
CRI_21L0905775 - TRUESEC,12.130.744/0001-00,1,474,27697.0,23875804.79,862.0357724663321,CVBI11,04/2022,2.30917183381659
CRI_21L0905775 - TRUESEC,12.130.744/0001-00,1,474,503.0,433603.99,862.0357654075547,CVBI11,04/2022,0.041936434375517036
CRI_22J0020689 - TRUESEC,12.130.744/0001-00,97,1,15000.0,14729652.89,981.9768593333333,CVBI11,04/2022,1.424592799055262
CRI_22F0930128 - VERT SEC,33.824.597/0001-48,67,1,3804.0,3821758.61,1004.6684043112513,CVBI11,04/2022,0.3696251253299865
CRI_22F0930128 - VERT SEC,33.824.597/0001-48,67,1,949.0,953556.08,1004.8009272918862,CVBI11,04/2022,0.09222410977420957
CRI_20F0734290 - RBCAPITALSEC,03.559.006/0001-91,1,227,11500.0,11980849.53,1041.8130026086956,CVBI11,04/2022,1.158739591113516
CRI_20F0734290 - RBCAPITALSEC,03.559.006/0001-91,1,227,13589.0,14157196.89,1041.8130024284349,CVBI11,04/2022,1.3692271566014853
CRI_20F0734290 - RBCAPITALSEC,03.559.006/0001-91,1,227,11341.0,11815201.26,1041.8130023807423,CVBI11,04/2022,1.1427187565167842
